21.994 0 0.453
21.981 1 0.453
21.969 1 0.453
21.956 0 0.453
21.944 1 0.453
21.931 2 0.453
21.919 0 0.453
21.906 1 0.453
21.894 1 0.453
21.881 0 0.453
21.869 0 0.453
21.856 0 0.453
21.844 0 0.453
21.831 1 0.453
21.819 1 0.453
21.806 0 0.453
21.794 0 0.453
21.781 1 0.453
21.769 0 0.453
21.756 1 0.453
21.744 1 0.453
21.731 1 0.453
21.719 1 0.453
21.706 0 0.453
21.694 0 0.453
21.681 3 0.453
21.669 0 0.453
21.656 0 0.453
21.644 0 0.453
21.631 1 0.453
21.619 0 0.453
21.606 0 0.453
21.594 0 0.453
21.581 0 0.453
21.569 1 0.453
21.556 1 0.453
21.544 0 0.453
21.531 1 0.453
21.519 0 0.453
21.506 0 0.453
21.494 1 0.453
21.481 0 0.453
21.469 0 0.453
21.456 0 0.453
21.444 0 0.453
21.431 0 0.453
21.419 1 0.453
21.406 0 0.453
21.394 0 0.453
21.381 0 0.453
21.369 2 0.453
21.356 1 0.453
21.344 0 0.453
21.331 1 0.453
21.319 2 0.453
21.306 1 0.453
21.294 0 0.453
21.281 0 0.453
21.269 2 0.453
21.256 0 0.453
21.244 1 0.453
21.231 0 0.453
21.219 0 0.453
21.206 0 0.453
21.194 0 0.453
21.181 0 0.453
21.169 0 0.453
21.156 2 0.453
21.144 0 0.453
21.131 1 0.453
21.119 0 0.453
21.106 0 0.453
21.094 1 0.453
21.081 0 0.453
21.069 0 0.453
21.056 0 0.453
21.044 1 0.453
21.031 1 0.453
21.019 0 0.453
21.006 1 0.453
20.994 0 0.453
20.981 0 0.453
20.969 1 0.453
20.956 1 0.453
20.944 0 0.453
20.931 1 0.453
20.919 2 0.453
20.906 0 0.453
20.894 0 0.453
20.881 0 0.453
20.869 0 0.453
20.856 0 0.453
20.844 1 0.453
20.831 1 0.453
20.819 1 0.453
20.806 0 0.453
20.794 0 0.453
20.781 0 0.453
20.769 0 0.453
20.756 0 0.453
20.744 0 0.454
20.731 0 0.454
20.719 0 0.454
20.706 0 0.454
20.694 0 0.454
20.681 1 0.454
20.669 0 0.454
20.656 0 0.454
20.644 0 0.454
20.631 0 0.454
20.619 1 0.454
20.606 1 0.454
20.594 0 0.454
20.581 1 0.454
20.569 3 0.454
20.556 0 0.454
20.544 0 0.454
20.531 2 0.454
20.519 1 0.454
20.506 0 0.454
20.494 1 0.454
20.481 0 0.454
20.469 0 0.454
20.456 0 0.454
20.444 2 0.454
20.431 1 0.454
20.419 0 0.454
20.406 0 0.454
20.394 1 0.454
20.381 1 0.454
20.369 1 0.454
20.356 0 0.454
20.344 0 0.454
20.331 1 0.454
20.319 0 0.454
20.306 1 0.454
20.294 0 0.454
20.281 0 0.454
20.269 0 0.454
20.256 0 0.454
20.244 0 0.454
20.231 0 0.454
20.219 0 0.454
20.206 0 0.454
20.194 1 0.454
20.181 0 0.454
20.169 0 0.454
20.156 0 0.454
20.144 1 0.454
20.131 0 0.454
20.119 0 0.454
20.106 0 0.454
20.094 0 0.454
20.081 1 0.454
20.069 1 0.454
20.056 0 0.454
20.044 0 0.454
20.031 1 0.454
20.019 0 0.454
20.006 0 0.454
19.994 1 0.454
